season,week,viewers,predicted_votes_million
24,3,10.47,5.237
24,4,10.31,5.157
24,5,11.18,5.592
24,6,10.35,5.177
24,7,10.31,5.157
24,8,9.95,4.977
24,9,10.07,5.037
24,10,10.54,5.272
25,1,10.71,5.898
25,2,8.67,4.774
25,3,9.06,4.989
25,4,9.25,5.094
25,5,9.76,5.375
25,6,9.15,5.039
25,7,9.93,5.468
25,8,9.3,5.121
25,9,9.88,5.441
25,10,10.08,5.551
26,1,8.48,5.283
26,2,7.73,4.816
26,3,7.68,4.785
26,4,8.77,5.464
27,1,7.68,5.57
27,2,7.06,5.121
27,3,7.22,5.237
27,4,6.89,4.997
27,5,7.27,5.273
27,6,7.25,5.259
27,7,7.1,5.15
27,8,7.29,5.288
27,9,7.9,5.73
28,1,8.07,7.005
28,2,6.4,5.555
28,3,6.58,5.712
28,4,6.4,5.555
28,5,6.61,5.738
28,6,6.28,5.451
28,7,6.4,5.555
28,8,6.2,5.382
28,9,6.75,5.859
28,10,6.63,5.755
28,11,7.79,6.762
29,1,8.12,8.646
29,2,6.09,6.484
29,3,6.87,7.315
29,4,5.84,6.218
29,5,6.26,6.665
29,6,5.75,6.122
29,7,5.48,5.835
29,8,5.55,5.909
29,9,5.97,6.357
29,10,5.75,6.122
29,11,6.41,6.825
30,1,5.47,7.292
30,2,4.88,6.505
30,3,4.74,6.318
30,4,4.61,6.145
30,5,5.02,6.692
30,6,4.86,6.478
30,7,4.79,6.385
30,8,4.72,6.292
30,9,4.81,6.412
30,10,5.64,7.518
31,1,5.13,8.696
31,2,4.71,7.984
31,3,4.94,8.374
31,4,4.69,7.95
31,5,4.88,8.272
31,6,4.81,8.153
31,7,4.83,8.187
31,8,4.92,8.34
31,9,5.26,8.916
31,10,5.37,9.103
32,1,4.78,10.416
32,2,4.53,9.871
32,3,5.13,11.178
32,4,4.76,10.372
32,5,4.73,10.307
32,6,4.75,10.35
32,7,4.87,10.612
32,8,5.12,11.156
32,9,5.7,12.42
32,10,5.1,11.113
32,11,5.5,11.984
33,1,4.97,14.015
33,2,4.89,13.79
33,3,4.52,12.746
33,4,4.4,12.408
33,5,4.85,13.677
33,6,4.47,12.605
33,7,5.13,14.467
33,8,5.19,14.636
33,9,6.36,17.935
34,1,5.28,10.423
34,2,5.46,10.778
34,3,5.83,11.508
34,4,5.88,11.607
34,5,5.98,11.805
34,6,6.63,13.088
34,7,6.74,13.305
34,8,6.3,12.436
34,9,6.67,13.167
34,10,7.22,14.252
34,11,9.43,18.615
